game,wins
qrr_2,0
qhh_2,48
qhh_2,51
qhh_2,59
qhh_2,51
qhh_2,61
qhh_2,54
qhh_2,55
qhh_2,52
qhh_2,49
qhh_2,60
qhh_2,44
qhh_2,52
qhh_2,57
qhh_2,54
qhh_2,44
qhh_2,64
qhh_2,53
qhh_2,56
qhh_2,51
qhh_2,48
qhh_2,53
qhh_2,54
qhh_2,58
qhh_2,53
qhh_2,47
qhh_2,44
qhh_2,59
qhh_2,54
qhh_2,49
qhh_2,47
qhh_2,60
qhh_2,52
qhh_2,61
qhh_2,55
qhh_2,46
qhh_2,65
qhh_2,50
qhh_2,51
qhh_2,48
qhh_2,57
qhh_2,57
qhh_2,44
qhh_2,58
qhh_2,58
qhh_2,56
qhh_2,50
qhh_2,59
qhh_2,62
qhh_2,52
qhh_2,56
qhh_2,59
qhh_2,51
qhh_2,56
qhh_2,41
qhh_2,55
qhh_2,56
qhh_2,56
qhh_2,49
qhh_2,58
qhh_2,54
qhh_2,47
qhh_2,51
qhh_2,54
qhh_2,53
qhh_2,54
qhh_2,59
qhh_2,52
qhh_2,55
qhh_2,57
qhh_2,58
qhh_2,59
qhh_2,51
qhh_2,56
qhh_2,46
qhh_2,56
qhh_2,50
qhh_2,50
qhh_2,57
qhh_2,57
qhh_2,60
qhh_2,54
qhh_2,49
qhh_2,48
qhh_2,41
qhh_2,59
qhh_2,50
qhh_2,64
qhh_2,62
qhh_2,48
qhh_2,55
qhh_2,52
qhh_2,55
qhh_2,58
qhh_2,52
qhh_2,59
qhh_2,51
qhh_2,56
qhh_2,51
qhh_2,52
qhh_2,57
qoo_2,25
qoo_2,30
qoo_2,36
qoo_2,28
qoo_2,15
qoo_2,26
qoo_2,38
qoo_2,25
qoo_2,35
qoo_2,39
qoo_2,28
qoo_2,35
qoo_2,17
qoo_2,27
qoo_2,37
qoo_2,36
qoo_2,37
qoo_2,21
qoo_2,37
qoo_2,30
qoo_2,27
qoo_2,27
qoo_2,26
qoo_2,22
qoo_2,19
qoo_2,30
qoo_2,28
qoo_2,29
qoo_2,28
qoo_2,26
qoo_2,22
qoo_2,25
qoo_2,33
qoo_2,24
qoo_2,32
qoo_2,30
qoo_2,32
qoo_2,28
qoo_2,23
qoo_2,32
qoo_2,28
qoo_2,38
qoo_2,19
qoo_2,31
qoo_2,33
qoo_2,29
qoo_2,24
qoo_2,25
qoo_2,26
qoo_2,27
qoo_2,32
qoo_2,24
qoo_2,38
qoo_2,32
qoo_2,31
qoo_2,26
qoo_2,30
qoo_2,34
qoo_2,27
qoo_2,30
qoo_2,23
qoo_2,23
qoo_2,25
qoo_2,31
qoo_2,24
qoo_2,28
qoo_2,24
qoo_2,22
qoo_2,24
qoo_2,22
qoo_2,23
qoo_2,26
qoo_2,28
qoo_2,26
qoo_2,37
qoo_2,24
qoo_2,29
qoo_2,28
qoo_2,25
qoo_2,41
qoo_2,27
qoo_2,32
qoo_2,30
qoo_2,20
qoo_2,36
qoo_2,32
qoo_2,30
qoo_2,26
qoo_2,27
qoo_2,32
qoo_2,21
qoo_2,20
qoo_2,29
qoo_2,29
qoo_2,30
qoo_2,24
qoo_2,25
qoo_2,25
qoo_2,24
qoo_2,25
brr,85
brr,93
brr,86
brr,83
brr,89
brr,93
brr,91
brr,89
brr,91
brr,94
brr,91
brr,90
brr,94
brr,90
brr,92
brr,92
brr,93
brr,92
brr,94
brr,93
brr,95
brr,95
brr,85
brr,92
brr,90
brr,91
brr,91
brr,97
brr,92
brr,88
brr,93
brr,86
brr,93
brr,87
brr,87
brr,97
brr,91
brr,89
brr,88
brr,93
brr,92
brr,88
brr,90
brr,85
brr,92
brr,91
brr,91
brr,90
brr,87
brr,85
brr,91
brr,93
brr,89
brr,92
brr,92
brr,86
brr,92
brr,96
brr,90
brr,89
brr,92
brr,88
brr,91
brr,89
brr,91
brr,85
brr,94
brr,83
brr,94
brr,91
brr,93
brr,89
brr,87
brr,92
brr,93
brr,95
brr,91
brr,93
brr,90
brr,93
brr,86
brr,94
brr,92
brr,91
brr,89
brr,91
brr,93
brr,94
brr,87
brr,88
brr,92
brr,90
brr,87
brr,90
brr,91
brr,92
brr,92
brr,94
brr,92
brr,95
bhh,11
bhh,7
bhh,10
bhh,8
bhh,14
bhh,11
bhh,14
bhh,14
bhh,12
bhh,13
bhh,9
bhh,10
bhh,15
bhh,13
bhh,9
bhh,9
bhh,12
bhh,10
bhh,12
bhh,13
bhh,15
bhh,17
bhh,9
bhh,19
bhh,14
bhh,15
bhh,13
bhh,7
bhh,16
bhh,14
bhh,11
bhh,13
bhh,19
bhh,16
bhh,11
bhh,11
bhh,13
bhh,13
bhh,8
bhh,15
bhh,10
bhh,16
bhh,9
bhh,18
bhh,12
bhh,7
bhh,12
bhh,11
bhh,5
bhh,16
bhh,17
bhh,11
bhh,12
bhh,7
bhh,8
bhh,12
bhh,13
bhh,13
bhh,12
bhh,11
bhh,8
bhh,9
bhh,12
bhh,9
bhh,14
bhh,12
bhh,18
bhh,15
bhh,13
bhh,14
bhh,10
bhh,7
bhh,11
bhh,17
bhh,10
bhh,12
bhh,12
bhh,12
bhh,14
bhh,14
bhh,9
bhh,11
bhh,17
bhh,9
bhh,10
bhh,7
bhh,15
bhh,11
bhh,19
bhh,11
bhh,13
bhh,15
bhh,11
bhh,10
bhh,9
bhh,11
bhh,19
bhh,11
bhh,9
bhh,7
boo,6
boo,4
boo,6
boo,4
boo,8
boo,9
boo,6
boo,4
boo,4
boo,8
boo,3
boo,4
boo,4
boo,9
boo,7
boo,4
boo,3
boo,8
boo,5
boo,2
boo,3
boo,2
boo,7
boo,8
boo,6
boo,5
boo,7
boo,5
boo,8
boo,6
boo,6
boo,6
boo,3
boo,5
boo,1
boo,7
boo,4
boo,6
boo,8
boo,9
boo,4
boo,3
boo,5
boo,2
boo,0
boo,6
boo,5
boo,4
boo,5
boo,4
boo,7
boo,6
boo,6
boo,6
boo,2
boo,7
boo,6
boo,4
boo,7
boo,4
boo,6
boo,6
boo,11
boo,5
boo,6
boo,5
boo,4
boo,4
boo,3
boo,12
boo,8
boo,2
boo,9
boo,5
boo,7
boo,7
boo,5
boo,3
boo,6
boo,5
boo,3
boo,6
boo,7
boo,2
boo,7
boo,2
boo,10
boo,4
boo,10
boo,3
boo,3
boo,2
boo,3
boo,5
boo,3
boo,6
boo,6
boo,6
boo,5
boo,10
