game,wins
qrr_2,94
qhh_2,67
qhh_2,70
qhh_2,62
qhh_2,69
qhh_2,69
qhh_2,58
qhh_2,59
qhh_2,60
qhh_2,72
qhh_2,65
qhh_2,74
qhh_2,59
qhh_2,71
qhh_2,70
qhh_2,70
qhh_2,71
qhh_2,67
qhh_2,67
qhh_2,66
qhh_2,59
qhh_2,66
qhh_2,73
qhh_2,67
qhh_2,64
qhh_2,72
qhh_2,71
qhh_2,60
qhh_2,67
qhh_2,69
qhh_2,61
qhh_2,64
qhh_2,63
qhh_2,68
qhh_2,69
qhh_2,71
qhh_2,60
qhh_2,66
qhh_2,69
qhh_2,70
qhh_2,71
qhh_2,68
qhh_2,62
qhh_2,73
qhh_2,61
qhh_2,64
qhh_2,70
qhh_2,64
qhh_2,59
qhh_2,69
qhh_2,60
qhh_2,61
qhh_2,71
qhh_2,55
qhh_2,59
qhh_2,72
qhh_2,67
qhh_2,60
qhh_2,64
qhh_2,67
qhh_2,61
qhh_2,67
qhh_2,77
qhh_2,58
qhh_2,68
qhh_2,73
qhh_2,60
qhh_2,56
qhh_2,68
qhh_2,59
qhh_2,76
qhh_2,49
qhh_2,64
qhh_2,51
qhh_2,66
qhh_2,64
qhh_2,67
qhh_2,67
qhh_2,67
qhh_2,60
qhh_2,59
qhh_2,74
qhh_2,56
qhh_2,65
qhh_2,68
qhh_2,65
qhh_2,69
qhh_2,70
qhh_2,72
qhh_2,73
qhh_2,63
qhh_2,75
qhh_2,69
qhh_2,64
qhh_2,66
qhh_2,74
qhh_2,66
qhh_2,57
qhh_2,63
qhh_2,53
qhh_2,63
qoo_2,30
qoo_2,21
qoo_2,30
qoo_2,21
qoo_2,21
qoo_2,20
qoo_2,15
qoo_2,28
qoo_2,17
qoo_2,19
qoo_2,27
qoo_2,27
qoo_2,25
qoo_2,26
qoo_2,27
qoo_2,28
qoo_2,25
qoo_2,20
qoo_2,24
qoo_2,25
qoo_2,25
qoo_2,26
qoo_2,26
qoo_2,24
qoo_2,30
qoo_2,15
